epoch,hit_ratio,ndcg
0,0.6101575037437016,0.36251623796592414
1,0.6740955363370746,0.4088000463883271
2,0.6963236119037515,0.4245627954020249
3,0.7121959309500466,0.43871240955098356
4,0.7207710805761642,0.4455602828631361
5,0.7250684109633142,0.44799935755412984
6,0.7318046348732508,0.4559506362978033
7,0.7225807395700719,0.4467233475252894
8,0.7275658379306477,0.45061999445124384
9,0.7322338801332612,0.45568197116595544
10,0.7277024159679236,0.4508418163482234
11,0.7294974416006946,0.45314870108786603
12,0.7333411377926062,0.4553506785138752
13,0.7329216481066869,0.4551087682264201
14,0.7298681534161582,0.4530969168684191
15,0.7348678851378706,0.4572890401198301
16,0.7370482559472419,0.45793123831058735
17,0.7292584300354615,0.45236802756885575
18,0.7378335796615791,0.45848684010829016
19,0.7372677563642926,0.4578742453038945
