epoch,hit_ratio,ndcg
0,0.7653589319597485,0.4833032792836648
1,0.7659881664886274,0.4851962831572775
2,0.7648418865329177,0.4862438979661823
3,0.7664174117486379,0.48707211976846754
4,0.766963723897742,0.48745965180136336
5,0.7682368263166367,0.49019052733489527
6,0.768758749530513,0.491643537364841
7,0.7673051689909322,0.4890296438599273
8,0.7721634448883231,0.49317483831917713
9,0.7718317553692241,0.4933212448369969
10,0.7696904068562175,0.4909054377238907
11,0.7702513523664584,0.49211121029177607
12,0.7746169717722464,0.49536590062641805
13,0.7700659964587266,0.49240523584047063
14,0.7704708527835091,0.492201958003889
15,0.7709000980435197,0.4934271424699754
16,0.771465921340806,0.4933696385490737
17,0.7740901707713245,0.49557025736617616
18,0.7731780245938022,0.4945209593178236
19,0.7710317982937501,0.4938087511517427
