epoch,hit_ratio,ndcg
0,0.6777489988342089,0.4122790865376735
1,0.7245708766846657,0.45046982702306393
2,0.7426430776885142,0.4667171846523128
3,0.7527547302339874,0.473513488899203
4,0.7623395817785387,0.4824702127325771
5,0.7651199203945154,0.48560899245819267
6,0.7693050616796172,0.4897039654737799
7,0.7721439337401408,0.49257811084287767
8,0.773421913946081,0.49353905075024157
9,0.7758705630429586,0.49569477921764366
10,0.7755876513943154,0.49599527771400276
11,0.7761046968211461,0.49617083476369395
12,0.777421699323451,0.49764507502724653
13,0.7788899132241685,0.4988957487163942
14,0.7792655028266776,0.49990651308796197
15,0.7786460238718897,0.498869683850003
16,0.7799630263741946,0.5002194421852425
17,0.7827531205642624,0.502553507236823
18,0.7827970206476725,0.5024465779750492
19,0.7805288496714811,0.5002992374252692
